Candlestick Maker,Kandelaarmaker
Stonemason,Steenhouwer
Doctor,Arts
Masterpiece,Meesterwerk
Advisor,Adviseur
Plaza,Plaza
Taxman,Belastinginner
Herald,Heraut
Baker,Bakker
Butcher,Slager
Journeyman,Gezel
Merchant Guild,Koopmansgilde
Soothsayer,Helderziende
Coin of the Realm,Koninklijke munt
Page,Wapenknecht
Treasure Hunter,Roofridder
Warrior,Krijger
Hero,Held
Champion,Kampioen
Peasant,Boer
Soldier,Landsknecht
Fugitive,Vluchteling
Disciple,Leerknecht
Teacher,Leermeester
Ratcatcher,Rattenvanger
Raze,Afbraak
Amulet,Amulet
Caravan Guard,Karavaanescorte
Dungeon,Kerker
Gear,Uitrusting
Guide,Gids
Duplicate,Duplicaat
Magpie,Ekster
Messenger,Koerier
Miser,Vrek
Port,Zeehaven
Ranger,Woudloper
Transmogrify,Metamorfose
Artificer,Kanonnengieter
Bridge Troll,Brugtrol
Distant Lands,Verre landen
Giant,Reus
Haunted Woods,Spookbos
Lost City,Verloren stad
Relic,Relikwie
Royal Carriage,Koninklijke koets
Storyteller,Verteller
Swamp Hag,Heks uit het moeras
Treasure Trove,Verborgen schat
Wine Merchant,Wijnhandelaar
Hireling,Huursoldaat
Alms,Aalmoes
Borrow,Lenen
Quest,Queeste
Save,Sparen
Scouting Party,Verkennerseenheid
Travelling Fair,Kermis
Bonfire,Vreugdevuur
Expedition,Expeditie
Ferry,Veerboot
Plan,Plan
Mission,Missie
Pilgrimage,Bedevaart
Ball,Bal
Raid,Overval
Seaway,Zeeroute
Trade,Handel
Lost Arts,Verloren Kunst
Training,Training
Inheritance,Erfenis
Pathfinding,Woudlopen
Engineer,Ingenieur
City Quarter,Stadswijk
Overlord,Despoot
Royal Blacksmith,Koninklijke smid
Encampment,Kampement
Plunder,Plunderen
Patrician,Patriciër
Emporium,Emporium
Settlers,Kolonisten
Bustling Village,Levendig dorp
Castles,Kastelen
Humble Castle,Bescheiden Kasteel
Crumbling Castle,Vervallen Kasteel
Small Castle,Klein Kasteel
Haunted Castle,Spookkasteel
Opulent Castle,Weelderig Kasteel
Sprawling Castle,Florerend Kasteel
Grand Castle,Groot Kasteel
King's Castle,Koningskasteel
Catapult,Katapult
Rocks,Rotsblokken
Chariot Race,Strijdwagenrace
Enchantress,Tovenares
Farmers' Market,Boerenmarkt
Gladiator,Gladiator
Fortune,Fortuin
Sacrifice,Offer
Temple,Tempel
Villa,Villa
Archive,Archief
Capital,Kapitaal
Charm,Geluksbrenger
Crown,Kroon
Forum,Forum
Groundskeeper,Kasteelhovenier
Legionary,Legioensoldaat
Wild Hunt,Wilde jacht
Triumph,Triomf
Annex,Overname
Donate,Donatie
Advance,Promotie
Delve,Delven
Tax,Belasting
Banquet,Banket
Ritual,Ritueel
Salt the Earth,Zout der aarde
Wedding,Bruiloft
Windfall,Meevaller
Conquest,Verovering
Dominate,Overheersing
Aqueduct,Aquaduct
Arena,Arena
Bandit Fort,Bandietenfort
Basilica,Basiliek
Baths,Baden
Battlefield,Slagveld
Colonnade,Zuilengalerij
Defiled Shrine,Geschonden altaar
Fountain,Fontein
Keep,Hoofdtoren
Labyrinth,Labyrint
Mountain Pass,Bergpas
Museum,Museum
Obelisk,Obelisk
Orchard,Boomgaard
Palace,Paleis
Tomb,Tombe
Tower,Toren
Triumphal Arch,Triomfboog
Wall,Muur
Wolf Den,Wolvenhol
Druid,Druïde
Faithful Hound,Trouwe hond
Guardian,Beschermer
Monastery,Klooster
Pixie,Elfje
Tracker,Spoorzoeker
Changeling,Wisselkind
Fool,Dwaas
Ghost Town,Spookstad
Leprechaun,Leprechaun
Night Watchman,Nachtwaker
Secret Cave,Geheime grot
Bard,Bard
Blessed Village,Gezegend dorp
Cemetery,Kerkhof
Conclave,Conclaaf
Devil's Workshop,Atelier van de duivel
Exorcist,Exorcist
Necromancer,Dodenbezweerder
Shepherd,Schaapsherder
Skulk,Skulk
Cobbler,Schoenmaker
Crypt,Crypte
Cursed Village,Vervloekt dorp
Den of Sin,Huis der zonden
Idol,Idool
Pooka,Pooka
Sacred Grove,Heilig kreupelbos
Tormentor,Kwelgeest
Tragic Hero,Tragische held
Vampire,Vampier
Werewolf,Weerwolf
Raider,Plunderaar
Haunted Mirror,Spookspiegel
Magic Lamp,Magische lamp
Goat,Geit
Pasture,Weide
Pouch,Buidel
Cursed Gold,Vervloekt goud
Lucky Coin,Geluksmunt
Will-o'-Wisp,Dwaallicht
Wish,Wens
Bat,Vleermuis
Imp,Duiveltje
Zombie Apprentice,Studerende zombie
Zombie Mason,Metselende zombie
Zombie Spy,Spionerende zombie
Ghost,Geest
The Earth's Gift,Gift van de aarde
The Field's Gift,Gift van de akker
The Flame's Gift,Gift van het vuur
The Forest's Gift,Gift van het bos
The Moon's Gift,Gift van de maan
The Mountain's Gift,Gift van de bergen
The River's Gift,Gift van de rivier
The Sea's Gift,Gift van de zee
The Sky's Gift,Gift van de hemel
The Sun's Gift,Gift van de zon
The Swamp's Gift,Gift van het moeras
The Wind's Gift,Gift van de wind
Bad Omens,Slechte voortekenen
Delusion,Illusie
Envy,Jaloezie
Famine,Hongersnood
Fear,Angst
Greed,Hebzucht
Haunting,Spoken
Locusts,Sprinkhanen
Misery,Ellende
Plague,Plaag
Poverty,Armoede
War,Oorlog
Deluded,Misleid
Envious,Jaloers
Lost in the Woods,Verdwaald in het bos
Miserable,Ellendig
Twice Miserable,Dubbel ellendig
Border Guard,Grenswacht
Ducat,Dukaat
Lackeys,Kamerbedienden
Acting Troupe,Toneelgezelschap
Cargo Ship,Vrachtschip
Experiment,Experiment
Improve,Verbetering
Flag Bearer,Vaandeldrager
Hideout,Schuilplaats
Inventor,Uitvinder
Mountain Village,Bergdorp
Patron,Beschermheer
Priest,Priester
Research,Onderzoek
Silk Merchant,Zijdekoopman
Old Witch,Oude heks
Recruiter,Ronselaar
Scepter,Scepter
Scholar,Geleerde
Sculptor,Beeldhouwer
Seer,Ziener
Spices,Specerijen
Swashbuckler,Ijzervreter
Treasurer,Schatbewaarder
Villain,Slechterik
Flag,Vaandel
Horn,Hoorn
Key,Sleutel
Lantern,Lantaarn
Treasure Chest,Schatkist
Cathedral,Kathedraal
City Gate,Stadspoort
Pageant,Spektakel
Sewers,Riolen
Star Chart,Sterrenkaart
Exploration,Ontdekkingsreis
Fair,Braderie
Silos,Silo's
Sinister Plot,Duistere samenzwering
Academy,Academie
Capitalism,Kapitalisme
Fleet,Vloot
Guildhall,Gildehuis
Piazza,Plein
Road Network,Wegennet
Barracks,Kazerne
Crop Rotation,Wisselbouw
Innovation,Vernieuwing
Canal,Kanaal
Citadel,Burcht
Black Cat,Zwarte kat
Sleigh,Slede
Supplies,Voorraden
Camel Train,Kamelenkaravaan
Goatherd,Geitenhoeder
Horse,Paard
Scrap,Schroot
Sheepdog,Herdershond
Snowy Village,Besneeuwd dorp
Stockpile,Reserve
Bounty Hunter,Premiejager
Cardinal,Kardinaal
Cavalry,Cavalerie
Groom,Rijknecht
Hostelry,Pension
Village Green,Dorpsweide
Fisherman,Visser
Hunting Lodge,Jachthuis
Barge,Aak
Coven,Heksenkring
Displace,Verplaatsing
Falconer,Valkenier
Gatekeeper,Poortwachter
Kiln,Oven
Livery,Stalhouderij
Mastermind,Meesterbrein
Paddock,Omheind veld
Sanctuary,Gewijde plek
Destrier,Krijgsros
Wayfarer,Voetreiziger
Animal Fair,Dierenmarkt
Delay,Vertraging
Desperation,Wanhoop
Gamble,Gokken
Pursue,Nastreven
Ride,Rit
Toil,Gezwoeg
Enhance,Verhoging
March,Mars
Transport,Transport
Banish,Verbannen
Bargain,Koopje
Invest,Investeren
Seize the Day,Pluk de Dag
Commerce,Commercie
Demand,Vraag
Stampede,Stormloop
Reap,Maaien
Enclave,Enclave
Alliance,Bondgenootschap
Populate,Bevolken
Way of the Butterfly,Spoor van de Vlinder
Way of the Camel,Spoor van de Kameel
Way of the Chameleon,Spoor van de Kameleon
Way of the Frog,Spoor van de Kikker
Way of the Goat,Spoor van de Geit
Way of the Horse,Spoor van het Paard
Way of the Mole,Spoor van de Mol
Way of the Monkey,Spoor van de Aap
Way of the Mouse,Spoor van de Muis
Way of the Mule,Spoor van de Ezel
Way of the Otter,Spoor van de Otter
Way of the Ox,Spoor van de Os
Way of the Owl,Spoor van de Uil
Way of the Pig,Spoor van het Varken
Way of the Rat,Spoor van de Rat
Way of the Seal,Spoor van de Zeehond
Way of the Sheep,Spoor van het Schaap
Way of the Squirrel,Spoor van de Eekhoorn
Way of the Turtle,Spoor van de Schildpad
Way of the Worm,Spoor van de Worm
Black Market,Zwarte Markt
Church,
Envoy,Gezant
Dismantle,Ontmantelen
Sauna,
Avanto,
Walled Village,
Governor,Gouverneur
Stash,Geldbuidel
Captain,
Prince,Prins
Summon,
